id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
14335,H138,hebrew,אֲדֹנִיָּה,ʼĂdônîyâh,ad-o-nee-yaw',"Adonijah, the name of three Israelites",Adonijah.,original (prolonged) אֲדֹנִיָּהוּ ; from H113 (אָדוֹן) and H3050 (יָהּ); lord (i.e. worshipper) of Jah;
14336,H139,hebrew,אֲדֹנִי־צֶדֶק,ʼĂdônîy-Tsedeq,ad-o''-nee-tseh'-dek,"Adoni-Tsedek, a Canaanitish king",Adonizedec.,from H113 (אָדוֹן) and H6664 (צֶדֶק); lord of justice;
14337,H140,hebrew,אֲדֹנִיקָם,ʼĂdônîyqâm,ad-o-nee-kawm',"Adonikam, the name of one or two Israelites",Adonikam.,from H113 (אָדוֹן) and H6965 (קוּם); lord of rising (i.e. high);
14338,H141,hebrew,אֲדֹנִירָם,ʼĂdônîyrâm,ad-o-nee-rawm',"Adoniram, an Israelite",Adoniram.,from H113 (אָדוֹן) and H7311 (רוּם); lord of height;
14339,H142,hebrew,אָדַר,ʼâdar,aw-dar',"to expand, i.e. be great or (figuratively) magnificent","(become) glorious, honourable.",a primitive root;
14340,H143,hebrew,אֲדָר,ʼĂdâr,ad-awr',"Adar, the 12th Hebrew month",Adar.,probably of foreign derivation; perhaps meaning fire;
14341,H144,hebrew,אֲדָר,ʼĂdâr,ad-awr',"{Adar, the 12th Hebrew month}",Adar.,(Aramaic) corresponding to H143 (אֲדָר)
14342,H145,hebrew,אֶדֶר,ʼeder,eh'-der,"amplitude, i.e. (concrete) a mantle; also (figuratively) splendor","goodly, robe.",from H142 (אָדַר);
14343,H146,hebrew,אַדָּר,ʼAddâr,ad-dawr',"Addar, a place in Palestine; also an Israelite",Addar.,intensive from H142 (אָדַר); ample;
14344,H147,hebrew,אִדַּר,ʼiddar,id-dar',"ample, i.e. a threshing-floor",threshingfloor.,"(Aramaic) intensive, from a root corresponding to H142 (אָדַר);"
14345,H148,hebrew,אֲדַרְגָּזֵר,ʼădargâzêr,ad-ar''-gaw-zare',"a chief diviner, or astrologer",judge.,"(Aramaic) from the same as H147 (אִדַּר), and H1505 (גְּזַר);"
14346,H149,hebrew,אַדְרַזְדָּא,ʼadrazdâʼ,ad-raz-daw',quickly or carefully,diligently.,(Aramaic) probably of Persian origin;
14347,H150,hebrew,אֲדַרְכֹּן,ʼădarkôn,ad-ar-kone',a daric or Persian coin,dram.,of Persian origin;
14348,H151,hebrew,אֲדֹרָם,ʼĂdôrâm,ad-o-rawm',"Adoram (or Adoniram), an Israelite",Adoram.,contracted for H141 (אֲדֹנִירָם);
14349,H152,hebrew,אֲדְרַמֶּלֶךְ,ʼĂdrammelek,ad-ram-meh'-lek,"Adrammelek, the name of an Assyrian idol, also of a son of Sennacherib",Adrammelech.,from H142 (אָדַר) and H4428 (מֶלֶךְ); splendor of (the) king;
14350,H153,hebrew,אֶדְרָע,ʼedrâʻ,ed-raw',"an arm, i.e. (figuratively) power",force.,(Aramaic) an orthographical variation for H1872 (דְּרַע);
14351,H154,hebrew,אֶדְרֶעִי,ʼedreʻîy,ed-reh'-ee,"Edrei, the name of two places in Palestine",Edrei.,from the equivalent of H153 (אֶדְרָע); mighty;
14352,H155,hebrew,אַדֶּרֶת,ʼaddereth,ad-deh'-reth,"something ample (as a large vine, a wide dress)","garment, glory, goodly, mantle, robe.",feminine of H117 (אַדִּיר); ; also the same as H145 (אֶדֶר)
