id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
14353,H156,hebrew,אָדַשׁ,ʼâdash,aw-dash',to tread out (grain),thresh.,a primitive root;
14354,H157,hebrew,אָהַב,ʼâhab,aw-hab',to have affection for (sexually or otherwise),"(be-) love(-d, -ly, -r), like, friend.",or אָהֵב ; a primitive root;
14355,H158,hebrew,אַהַב,ʼahab,ah'-hab,affection (in a good or a bad sense),love(-r).,from H157 (אָהַב);
14356,H159,hebrew,אֹהַב,ʼôhab,o'-hab,{affection (in a good or a bad sense)},love.,from H156 (אָדַשׁ); meaning the same as H158 (אַהַב)
14357,H160,hebrew,אַהֲבָה,ʼahăbâh,a-hab-aw,{affection (in a good or a bad sense)},love.,feminine of H158 (אַהַב) and meaning the same
14358,H161,hebrew,אֹהַד,ʼÔhad,o'-had,"Ohad, an Israelite",Ohad.,from an unused root meaning to be united; unity;
14359,H162,hebrew,אֲהָהּ,ʼăhâhh,a-haw',Oh!,"ah, alas.",apparently a primitive word expressing pain exclamatorily;
14360,H163,hebrew,אַהֲוָא,ʼAhăvâʼ,a-hav-aw',"Ahava, a river of Babylonia",Ahava.,probably of foreign origin;
14361,H164,hebrew,אֵהוּד,ʼÊhûwd,ay-hood',"Ehud, the name of two or three Israelites",Ehud.,from the same as H161 (אֹהַד); united;
14362,H165,hebrew,אֱהִי,ʼĕhîy,e-hee',where,"I will be (Hosea 13:10,14) (which is often the rendering of the same Hebrew form from H1961 (הָיָה)).",apparently an orthographical variation for H346 (אַיֵּה);
14363,H166,hebrew,אָהַל,ʼâhal,aw-hal',to be clear,shine.,a primitive root;
14364,H167,hebrew,אָהַל,ʼâhal,aw-hal',to tent,pitch (remove) a tent.,a denominative from H168 (אֹהֶל);
14365,H168,hebrew,אֹהֶל,ʼôhel,o'-hel,a tent (as clearly conspicuous from a distance),"covering, (dwelling) (place), home, tabernacle, tent.",from H166 (אָהַל);
14366,H169,hebrew,אֹהֶל,ʼÔhel,o'-hel,"Ohel, an Israelite",Ohel.,the same as H168 (אֹהֶל);
14367,H170,hebrew,אׇהֳלָה,ʼOhŏlâh,o-hol-aw',"Oholah, a symbolic name for Samaria",Aholah.,"in form a feminine of H168 (אֹהֶל), but in fact for אׇהֳלָהּ; from H168 (אֹהֶל); her tent (i.e. idolatrous sanctuary);"
14368,H171,hebrew,אׇהֳלִיאָב,ʼOhŏlîyʼâb,o''-hol-e-awb',"Oholiab, an Israelite",Aholiab.,from H168 (אֹהֶל) and H1 (אָב); tent of (his) father;
14369,H172,hebrew,אׇהֳלִיבָה,ʼOhŏlîybâh,o''-hol-ee-baw',"Oholibah, a symbolic name for Judah",Aholibah.,(similarly with H170 (אׇהֳלָה)) for אׇהֳלִיבָהּ ; from H168 (אֹהֶל); my tent (is) in her;
14370,H173,hebrew,אׇהֳלִיבָמָה,ʼOhŏlîybâmâh,o''-hol-ee-baw-maw',"Oholibamah, a wife of Esau",Aholibamah.,from H168 (אֹהֶל) and H1116 (בָּמָה); tent of (the) height;
14371,H174,hebrew,אֲהָלִים,ʼăhâlîym,a-haw-leem',aloe wood (i.e. sticks),(tree of lign-) aloes.,or (feminine) אֲהָלוֹת (only used thus in the plural); of foreign origin;
14372,H175,hebrew,אַהֲרוֹן,ʼAhărôwn,a-har-one',"Aharon, the brother of Moses",Aaron.,of uncertain derivation;
14373,H176,hebrew,אוֹ,ʼôw,o,"desire (and so probably in Proverbs 31:4); hence (by way of alternative) or, also if","also, and, either, if, at the least, [idiom] nor, or, otherwise, then, whether.",presumed to be the 'constructive' or genitival form of אַו ; short for H185 (אַוָּה);
14374,H177,hebrew,אוּאֵל,ʼÛwʼêl,oo-ale',"Uel, and Israelite",Uel.,from H176 (אוֹ) and H410 (אֵל); wish of God;
14375,H178,hebrew,אוֹב,ʼôwb,obe,"properly, a mumble, i.e. a water skin (from its hollow sound); hence a necromancer (ventriloquist, as from a jar)","bottle, familiar spirit.",from the same as H1 (אָב) (apparently through the idea of prattling a father's name);
14376,H179,hebrew,אוֹבִיל,ʼôwbîyl,o-beel',"Obil, an Ishmaelite",Obil.,probably from H56 (אָבַל); mournful;
14377,H180,hebrew,אוּבָל,ʼûwbâl,oo-bawl',a stream,river.,or (shortened) אֻבָל ; from H2986 (יָבַל) (in the sense of H2988 (יָבָל));
14378,H181,hebrew,אוּד,ʼûwd,ood,a poker (for turning or gathering embers),(fire-) brand.,from an unused root meaning to rake together;
14379,H182,hebrew,אוֹדוֹת,ʼôwdôwth,o-doth',turnings (i.e. occasions); (adverb) on account of,"(be-) cause, concerning, sake.",or (shortened) אֹדוֹת (only thus in the plural); from the same as H181 (אוּד);
14380,H183,hebrew,אָוָה,ʼâvâh,aw-vaw',to wish for,"covet, (greatly) desire, be desirous, long, lust (after).",a primitive root;
14381,H184,hebrew,אָוָה,ʼâvâh,aw-vaw',to extend or mark out,point out.,a primitive root;
14382,H185,hebrew,אַוָּה,ʼavvâh,av-vaw',longing,"desire, lust after, pleasure.",from H183 (אָוָה);
14383,H186,hebrew,אוּזַי,ʼÛwzay,oo-zah'-ee,"Uzai, an Israelite",Uzai.,"perhaps by permutation for H5813 (עֻזִּי), strong;"
14384,H187,hebrew,אוּזָל,ʼÛwzâl,oo-zawl',"Uzal, a son of Joktan",Uzal.,of uncertain derivation;
14385,H188,hebrew,אוֹי,ʼôwy,o'-ee,lamentation; also interjectionally Oh!,"alas, woe.",probably from H183 (אָוָה) (in the sense of crying out after);
14386,H189,hebrew,אֱוִי,ʼĔvîy,ev-ee',"Evi, a Midianitish chief",Evi.,probably from H183 (אָוָה); desirous;
14387,H190,hebrew,אוֹיָה,ʼôwyâh,o-yaw',{lamentation; also interjectionally Oh!},woe.,feminine of H188 (אוֹי)
14388,H191,hebrew,אֱוִיל,ʼĕvîyl,ev-eel',(figuratively) silly,fool(-ish) (man).,from an unused root (meaning to be perverse);
14389,H192,hebrew,אֱוִיל מְרֹדַךְ,ʼĔvîyl Mᵉrôdak,ev-eel' mer-o-dak',"Evil-Merodak, a Babylonian king",Evil-merodach.,of Aramaic derivation and probably meaning soldier of Merodak;
14390,H193,hebrew,אוּל,ʼûwl,ool,the body (as being rolled together); also powerful,"mighty, strength.","from an unused root meaning to twist, i.e. (by implication) be strong;"
14391,H194,hebrew,אוּלַי,ʼûwlay,oo-lah'ee,if not; hence perhaps,"if so be, may be, peradventure, unless.",or (shortened) אֻלַי; from H176 (אוֹ);
14392,H195,hebrew,אוּלַי,ʼÛwlay,oo-lah'ee,"the Ulai (or Eulaeus), a river of Persia",Ulai.,of Persian derivation;
14393,H196,hebrew,אֱוִלִי,ʼĕvilîy,ev-ee-lee',"silly, foolish; hence (morally) impious",foolish.,from H191 (אֱוִיל);
14394,H197,hebrew,אוּלָם,ʼûwlâm,oo-lawm',a vestibule (as bound to the building),porch.,"or (shortened), אֻלָם ; from H481 (אָלַם) (in the sense of tying);"
14395,H198,hebrew,אוּלָם,ʼÛwlâm,oo-lawm',"Ulam, the name of two Israelites",Ulam.,"appar, from H481 (אָלַם) (in the sense of dumbness); solitary;"
14396,H199,hebrew,אוּלָם,ʼûwlâm,oo-lawm',however or on the contrary,"as for, but, howbeit, in very deed, surely, truly, wherefore.",apparently a variation of H194 (אוּלַי);
14397,H200,hebrew,אִוֶּלֶת,ʼivveleth,iv-veh'-leth,silliness,"folly, foolishly(-ness).",from the same as H191 (אֱוִיל);
14398,H201,hebrew,אוֹמָר,ʼÔwmâr,o-mawr',"Omar, a grandson of Esau",Omar.,from H559 (אָמַר); talkative;
14399,H202,hebrew,אוֹן,ʼôwn,one,"ability, power, (figuratively) wealth","force, goods, might, strength, substance.","probably from the same as H205 (אָוֶן) (in the sense of effort, but successful);"
14400,H203,hebrew,אוֹן,ʼÔwn,one,"On, an Israelite",On.,the same as H202 (אוֹן);
14401,H204,hebrew,אוֹן,ʼÔwn,one,"On, a city of Egypt",On.,or (shortened); אֹן; of Egyptian derivation;
14402,H205,hebrew,אָוֶן,ʼâven,aw-ven',"strictly nothingness; also trouble. vanity, wickedness; specifically an idol","affliction, evil, false, idol, iniquity, mischief, mourners(-ing), naught, sorrow, unjust, unrighteous, vain, vanity, wicked(-ness). Compare H369 (אַיִן).","from an unused root perhaps meaning properly, to pant (hence, to exert oneself, usually in vain; to come to naught);"
14403,H206,hebrew,אָוֶן,ʼÂven,aw'-ven,"Aven, the contemptuous synonym of three places, one in Coele-Syria, one in Egypt (On), and one in Palestine (Bethel)","Aven. See also H204 (אוֹן), H1007 (בֵּית אָוֶן).",the same as H205 (אָוֶן); idolatry;
14404,H207,hebrew,אוֹנוֹ,ʼÔwnôw,o-no',"Ono, a place in Palestine",Ono.,or (shortened) אֹנוֹ; prolonged from H202 (אוֹן); strong;
14405,H208,hebrew,אוֹנָם,ʼÔwnâm,o-nawm',"Onam, the name of an Edomite and of an Israelite",Onam.,a variation of H209 (אוֹנָן); strong;
14406,H209,hebrew,אוֹנָן,ʼÔwnân,o-nawn',"Onan, a son of Judah",Onan.,a variation of H207 (אוֹנוֹ); strong;
14407,H210,hebrew,אוּפָז,ʼÛwphâz,oo-fawz',"Uphaz, a famous gold region",Uphaz.,perhaps a corruption of H211 (אוֹפִיר);
14408,H211,hebrew,אוֹפִיר,ʼÔwphîyr,o-feer',"Ophir, the name of a son of Joktan, and of a gold region in the East",Ophir.,or (shortened) אֹפִיר; and אוֹפִר; of uncertain derivation;
14409,H212,hebrew,אוֹפָן,ʼôwphân,o-fawn',a wheel,wheel.,or (shortened) אֹפָן; from an unused root meaning to revolve;
14410,H213,hebrew,אוּץ,ʼûwts,oots,"to press; (by implication) to be close, hurry, withdraw","(make) haste(-n, -y), labor, be narrow.",a primitive root;
14411,H214,hebrew,אוֹצָר,ʼôwtsâr,o-tsaw',a depository,"armory, cellar, garner, store(-house), treasure(-house) (-y).",from H686 (אָצַר);
14412,H215,hebrew,אוֹר,ʼôwr,ore,"to be (causative, make) luminous (literally and metaphorically)","[idiom] break of day, glorious, kindle, (be, en-, give, show) light (-en, -ened), set on fire, shine.",a primitive root;
14413,H216,hebrew,אוֹר,ʼôwr,ore,"illumination or (concrete) luminary (in every sense, including lightning, happiness, etc.)","bright, clear, [phrase] day, light (-ning), morning, sun.",from H215 (אוֹר);
14414,H217,hebrew,אוּר,ʼûwr,ore,flame; hence (in the plural) the East (as being the region of light),"fire, light. See also H224 (אוּרִים).",from H215 (אוֹר);
14415,H218,hebrew,אוּר,ʼÛwr,oor,"Ur, a place in Chaldaea; also an Israelite",Ur.,the same as H217 (אוּר);
14416,H219,hebrew,אוֹרָה,ʼôwrâh,o-raw',"luminousness, i.e. (figuratively) prosperity; also a plant (as being bright)","herb, light.",feminine of H216 (אוֹר);
14417,H220,hebrew,אֲוֵרָה,ʼăvêrâh,av-ay-raw',a stall,cote.,by transposition for H723 (אֻרְוָה);
14418,H221,hebrew,אוּרִי,ʼÛwrîy,oo-ree',"Uri, the name of three Israelites",Uri.,from H217 (אוּר); fiery;
14419,H222,hebrew,אוּרִיאֵל,ʼÛwrîyʼêl,oo-ree-ale',"Uriel, the name of two Israelites",Uriel.,from H217 (אוּר) and H410 (אֵל); flame of God;
14420,H223,hebrew,אוּרִיָּה,ʼÛwrîyâh,oo-ree-yaw',"Urijah, the name of one Hittite and five Israelites","Uriah, Urijah.",or (prolonged) אוּרִיָּהוּ ; from H217 (אוּר) and H3050 (יָהּ); flame of Jah;
14421,H224,hebrew,אוּרִים,ʼÛwrîym,oo-reem',"Urim, the oracular brilliancy of the figures in the high-priest's breastplate",Urim.,plural of H217 (אוּר); lights;
14422,H225,hebrew,אוּת,ʼûwth,ooth,"properly, to come, i.e. (implied) to assent",consent.,a primitive root;
14423,H226,hebrew,אוֹת,ʼôwth,oth,"a signal (literally or figuratively), as aflag, beacon, monument, omen, prodigy, evidence, etc.","mark, miracle, (en-) sign, token.",probably from H225 (אוּת) (in the sense of appearing);
14424,H227,hebrew,אָז,ʼâz,awz,"at that time or place; also as a conjunction, therefore","beginning, for, from, hitherto, now, of old, once, since, then, at which time, yet.",a demonstrative adverb;
14425,H228,hebrew,אֲזָא,ʼăzâʼ,az-zaw',to kindle; (by implication) to heat,"heat, hot.",(Aramaic) or אֲזָה (Aramaic);
14426,H229,hebrew,אֶזְבַּי,ʼEzbay,ez-bah'ee,"Ezbai, an Israelite",Ezbai.,probably from H231 (אֵזוֹב); hyssop-like;
14427,H230,hebrew,אֲזָד,ʼăzâd,az-zawd',firm,be gone.,(Aramaic) of uncertain derivation;
14428,H231,hebrew,אֵזוֹב,ʼêzôwb,ay-zobe',hyssop,hyssop.,probably of foreign derivation;
14429,H232,hebrew,אֵזוֹר,ʼêzôwr,ay-zore',"something girt; a belt, also a band",girdle.,from H246 (אֲזִקִּים);
14430,H233,hebrew,אֲזַי,ʼăzay,az-ah'ee,at that time,then.,probably from H227 (אָז);
14431,H234,hebrew,אַזְכָּרָה,ʼazkârâh,az-kaw-raw',a reminder; specifically remembrance-offering,memorial.,from H2142 (זָכַר);
14432,H235,hebrew,אָזַל,ʼâzal,aw-zal',"to go away, hence, to disappear","fail, gad about, go to and fro (but in Ezekiel 27:19 the word is rendered by many 'from Uzal,' by others 'yarn'), be gone (spent).",a primitive root;
14433,H236,hebrew,אֲזַל,ʼăzal,az-al',to depart,go (up).,(Aramaic) the same as H235 (אָזַל);
14434,H237,hebrew,אֶזֶל,ʼezel,eh'-zel,"Ezel, a memorial stone in Palestine",Ezel.,from H235 (אָזַל); departure;
14435,H238,hebrew,אָזַן,ʼâzan,aw-zan',"to broaden out the ear (with the hand), i.e. (by implication) to listen","give (perceive by the) ear, hear(-ken). See H239 (אָזַן).",a primitive root; probably to expand; but used only as a denominative from H241 (אֹזֶן);
14436,H239,hebrew,אָזַן,ʼâzan,aw-zan',"to weigh, i.e. (figuratively) ponder",give good heed.,a primitive root (rather identical with H238 (אָזַן) through the idea of scales as if two ears);
14437,H240,hebrew,אָזֵן,ʼâzên,aw-zane',a spade or paddle (as having a broad end),weapon.,from H238 (אָזַן);
14438,H241,hebrew,אֹזֶן,ʼôzen,o'-zen,broadness. i.e. (concrete) the ear (from its form in man),"[phrase] advertise, audience, [phrase] displease, ear, hearing, [phrase] show.",from H238 (אָזַן);
14439,H242,hebrew,אֻזֵּן שֶׁאֱרָה,ʼUzzên Sheʼĕrâh,ooz-zane' sheh-er-aw',"Uzzen-Sheerah, a place in Palestine",Uzzen-sherah.,from H238 (אָזַן) and H7609 (שֶׁאֱרָה); plot of Sheerah (i.e. settled by him);
14440,H243,hebrew,אַזְנוֹת תָּבוֹר,ʼAznôwth Tâbôwr,az-noth' taw-bore',"Aznoth-Tabor, a place in Palestine",Aznoth-tabor.,from H238 (אָזַן) and H8396 (תָּבוֹר); flats (i.e. tops) of Tabor (i.e. situated on it);
14441,H244,hebrew,אׇזְנִי,ʼOznîy,oz-nee',"Ozni, an Israelite; also an Oznite (collectively), his descendant","Ozni, Oznites.",from H241 (אֹזֶן); having (quick) ears;
14442,H245,hebrew,אֲזַנְיָה,ʼĂzanyâh,az-an-yaw',"Azanjah, an Israelite",Azaniah.,from H238 (אָזַן) and H3050 (יָהּ); heard by Jah;
14443,H246,hebrew,אֲזִקִּים,ʼăziqqîym,az-ik-keem',manacles,chains.,a variation for H2131 (זִיקָה);
14444,H247,hebrew,אָזַר,ʼâzar,aw-zar',to belt,"bind (compass) about, gird (up, with).",a primitive root;
14445,H248,hebrew,אֶזְרוֹעַ,ʼezrôwaʻ,ez-ro'-a,the arm,arm.,a variation for H2220 (זְרוֹעַ);
14446,H249,hebrew,אֶזְרָח,ʼezrâch,ez-rawkh',"a spontaneous growth, i.e. native (tree or persons)","bay tree, (home-) born (in the land), of the (one's own) country (nation).",from H2224 (זָרַח) (in the sense of springing up);
14447,H250,hebrew,אֶזְרָחִי,ʼEzrâchîy,ez-raw-khee',an Ezrachite or descendant of Zerach,Ezrahite.,patronymic from H2246 (חֹבָב);
14448,H251,hebrew,אָח,ʼâch,awkh,a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance (like father)),"another, brother(-ly); kindred, like, other. Compare also the proper names beginning with 'Ah-' or 'Ahi-'.",a primitive word;
14449,H252,hebrew,אַח,ʼach,akh,{a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance)},brother.,(Aramaic) corresponding to H251 (אָח)
14450,H253,hebrew,אָח,ʼâch,awkh,Oh! (expressive of grief or surprise),"ah, alas.",a variation for H162 (אֲהָהּ);
14451,H254,hebrew,אָח,ʼâch,awkh,a fire-pot or chafing dish,hearth.,of uncertain derivation;
14452,H255,hebrew,אֹחַ,ʼôach,o'-akh,a howler or lonesome wild animal,doleful creature.,probably from H253 (אָח);
14453,H256,hebrew,אַחְאָב,ʼAchʼâb,akh-awb',"Achab, the name of a king of Israel and of a prophet at Babylon",Ahab.,once (by contraction) אֶחָב (Jeremiah 29:22); from H251 (אָח) and H1 (אָב); brother (i.e. friend) of (his) father;
14454,H257,hebrew,אַחְבָן,ʼAchbân,akh-bawn',"Achban, an Israelite",Ahban.,from H251 (אָח) and H995 (בִּין); brother (i.e. possessor) of understanding;
14455,H258,hebrew,אָחַד,ʼâchad,aw-khad',"to unify, i.e. (figuratively) collect (one's thoughts)",go one way or other.,perhaps a primitive root;
14456,H259,hebrew,אֶחָד,ʼechâd,ekh-awd',"properly, united, i.e. one; or (as an ordinal) first","a, alike, alone, altogether, and, any(-thing), apiece, a certain, (dai-) ly, each (one), [phrase] eleven, every, few, first, [phrase] highway, a man, once, one, only, other, some, together,",a numeral from H258 (אָחַד);
14457,H260,hebrew,אָחוּ,ʼâchûw,aw'-khoo,a bulrush or any marshy grass (particularly that along the Nile),"flag, meadow.",of uncertain (perhaps Egyptian) derivation;
14458,H261,hebrew,אֵחוּד,ʼÊchûwd,ay-khood',"Echud, the name of three Israelites",Ehud.,from H258 (אָחַד); united;
14459,H262,hebrew,אַחְוָה,ʼachvâh,akh-vaw',an utterance,declaration.,from H2331 (חָוָה) (in the sense of H2324 (חֲוָא));
14460,H263,hebrew,אַחֲוָה,ʼachăvâh,akh-av-aw',solution (of riddles),showing.,(Aramaic) corresponding to H262 (אַחְוָה);
14461,H264,hebrew,אַחֲוָה,ʼachăvâh,akh-av-aw',fraternity,brotherhood.,from H251 (אָח);
14462,H265,hebrew,אֲחוֹחַ,ʼĂchôwach,akh-o'-akh,"Achoach, an Israelite",Ahoah.,by reduplication from H251 (אָח); brotherly;
14463,H266,hebrew,אֲחוֹחִי,ʼĂchôwchîy,akh-o-khee',an Achochite or descendant of Achoach,Ahohite.,patronymic from H264 (אַחֲוָה);
14464,H267,hebrew,אֲחוּמַי,ʼĂchûwmay,akh-oo-mah'-ee,"Achumai, an Israelite",Ahumai.,perhaps from H251 (אָח) and H4325 (מַיִם); brother (i.e. neighbour) of water;
14465,H268,hebrew,אָחוֹר,ʼâchôwr,aw-khore',"the hinder part; hence (adverb) behind, backward; also (as facing north) the West","after(-ward), back (part, -side, -ward), hereafter, (be-) hind(-er part), time to come, without.",or (shortened) אָחֹר ; from H299 (אֲחִירַע);
14466,H269,hebrew,אָחוֹת,ʼâchôwth,aw-khoth',"a sister (used very widely (like brother), literally and figuratively)","(an-) other, sister, together.",irregular feminine of H251 (אָח);
14467,H270,hebrew,אָחַז,ʼâchaz,aw-khaz',to seize (often with the accessory idea of holding in possession),"[phrase] be affrighted, bar, (catch, lay, take) hold (back), come upon, fasten, handle, portion, (get, have or take) possess(-ion).",a primitive root;
14468,H271,hebrew,אָחָז,ʼÂchâz,aw-khawz',"Achaz, the name of a Jewish king and of an Israelite",Ahaz.,from H270 (אָחַז); possessor;
14469,H272,hebrew,אֲחֻזָּה,ʼăchuzzâh,akh-ooz-zaw',"something seized, i.e. a possession (especially of land)",possession.,feminine passive participle from H270 (אָחַז);
14470,H273,hebrew,אַחְזַי,ʼAchzay,akh-zah'ee,"Achzai, an Israelite",Ahasai.,from H270 (אָחַז); seizer;
14471,H274,hebrew,אֲחַזְיָה,ʼĂchazyâh,akh-az-yaw',"Achazjah, the name of a Jewish and an Israelite king",Ahaziah.,or (prolonged) אֲחַזְיָהוּ ; from H270 (אָחַז) and H3050 (יָהּ); Jah has seized;
14472,H275,hebrew,אֲחֻזָּם,ʼĂchuzzâm,akh-ooz-zawm',"Achuzzam, an Israelite",Ahuzam.,from H270 (אָחַז); seizure;
14473,H276,hebrew,אֲחֻזַּת,ʼĂchuzzath,akh-ooz-zath',"Achuzzath, a Philistine",Ahuzzath.,a variation of H272 (אֲחֻזָּה); possession;
